timestamp,symbol,side,price,quantity,order_id,api_response,pnl,signal_reason,strategy_state
2026-03-18T11:10:13.045163,BTC/USD,HOLD,73965.99,0,,,,SVM prediction based on SMA features,"{'sma3': 74254.56999999999, 'sma10': 71683.48899999999, 'momentum': 0.000816134789964254, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
2026-03-18T11:10:23.334618,BTC/USD,HOLD,73972.25,0,,,,SVM prediction based on SMA features,"{'sma3': 74255.42666666667, 'sma10': 71683.746, 'momentum': 0.0008509071110884929, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
2026-03-18T11:10:33.646972,BTC/USD,HOLD,74034.92,0,,,,SVM prediction based on SMA features,"{'sma3': 74276.31666666667, 'sma10': 71690.013, 'momentum': 0.0016988376032480552, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
2026-03-18T11:10:43.952531,BTC/USD,HOLD,74066.66,0,,,,SVM prediction based on SMA features,"{'sma3': 74286.89666666667, 'sma10': 71693.187, 'momentum': 0.0021282825341743306, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
2026-03-18T11:10:54.220435,BTC/USD,HOLD,73988.71,0,,,,SVM prediction based on SMA features,"{'sma3': 74260.91333333333, 'sma10': 71685.39199999999, 'momentum': 0.0010736123273155907, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
2026-03-18T11:11:04.510309,BTC/USD,HOLD,73962.28,0,,,,SVM prediction based on SMA features,"{'sma3': 74252.10333333333, 'sma10': 71682.749, 'momentum': 0.0007160121532644614, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
2026-03-18T11:11:14.759859,BTC/USD,HOLD,73952.27,0,,,,SVM prediction based on SMA features,"{'sma3': 74248.76333333332, 'sma10': 71681.747, 'momentum': 0.0005804406911383643, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
2026-03-18T11:11:25.025347,BTC/USD,HOLD,73973.12,0,,,,SVM prediction based on SMA features,"{'sma3': 74255.71666666666, 'sma10': 71683.833, 'momentum': 0.000862678285943685, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
2026-03-18T11:11:35.299027,BTC/USD,HOLD,73982.71,0,,,,SVM prediction based on SMA features,"{'sma3': 74258.91333333333, 'sma10': 71684.79199999999, 'momentum': 0.0009924318110724518, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
2026-03-18T11:11:45.530275,BTC/USD,HOLD,73979.98,0,,,,SVM prediction based on SMA features,"{'sma3': 74258.00333333334, 'sma10': 71684.519, 'momentum': 0.0009554946761816818, 'entry': 0.0, 'sl': 0.0, 'tp': 0.0, 'pos': 0.0}"
